Couleur,Mouvement source,Mouvement destination,Status
B,D2,D3,OK
R,C5,D4,OK
B,D1,C2,OK
R,B4,B3,OK
B,C2,C3,OK
R,A4,B4,OK
B,D3,C4,OK
R,B6,C5,OK
B,F3,E4,OK
R,B7,B6,OK
B,G2,F3,OK
R,D6,E6,OK
B,E2,D3,OK
R,C7,D6,OK
B,F4,E5,OK
R,C6,D5,OK
B,F3,F4,OK
R,A7,B7,OK
B,G3,F3,OK
R,B6,C6,OK
B,E1,E2,OK
R,B7,C7,OK
B,F4,F5,OK
R,A6,B6,OK
B,F1,E1,OK
R,B3,C2,OK
B,E1,D2,OK
R,A5,A4,OK
B,G1,F1,OK
R,A4,B3,OK
B,G4,F4,OK
R,C2,D1,OK
B,F1,E1,OK
R,B3,C2,OK
B,C3,B3,OK
R,B4,C3,OK
B,B3,A4,OK
R,B5,B4,OK
B,C4,B5,OK
R,B4,C4,OK
B,A4,A5,OK
Victoire : R (20 coups)
